,Gene,Image,MTOC,MTOC leading edge,Non MTOC,timepoint
10_1,arhgdia,10,0.181629974885,,0.306258064267,3h
10_2,arhgdia,10,0.188663798878,,0.30389895098,3h
10_3,arhgdia,10,0.186249155083,,0.305008115943,3h
10_4,arhgdia,10,0.18331971392,,0.319304886211,3h
10_5,arhgdia,10,0.190230985835,,0.31565801046,3h
10_6,arhgdia,10,0.196923793987,,0.307587323575,3h
10_7,arhgdia,10,0.196923793987,,0.307587323575,3h
10_8,arhgdia,10,0.199181100712,,0.301796686105,3h
10_9,arhgdia,10,0.201090555418,,0.302505825064,3h
10_10,arhgdia,10,0.198986382717,,0.298748134962,3h
10_11,arhgdia,10,0.201233971544,,0.297511665723,3h
10_12,arhgdia,10,0.203519100823,,0.292113783448,3h
10_13,arhgdia,10,0.205790258449,,0.290798000048,3h
10_14,arhgdia,10,0.199684915321,,0.291823981763,3h
10_15,arhgdia,10,0.206062714598,,0.280413258352,3h
10_16,arhgdia,10,0.204115483468,,0.277772928616,3h
10_17,arhgdia,10,0.205611147866,,0.206661106663,3h
10_18,arhgdia,10,0.200116833496,,0.183009836713,3h
10_19,arhgdia,10,0.200116833496,,0.183009836713,3h
10_20,arhgdia,10,0.194288726358,,0.192346181862,3h
10_21,arhgdia,10,0.192703291384,,0.197846661655,3h
10_22,arhgdia,10,0.195181368533,,0.197125819444,3h
10_23,arhgdia,10,0.193791930917,,0.19019150065,3h
10_24,arhgdia,10,0.192595226373,,0.189341126713,3h
10_25,arhgdia,10,0.1952650657,,0.188498376625,3h
10_26,arhgdia,10,0.194160103804,,0.187658576474,3h
10_27,arhgdia,10,0.196861447295,,0.186656894906,3h
10_28,arhgdia,10,0.199824797282,,0.185762221143,3h
10_29,arhgdia,10,0.202806009067,,0.178857966074,3h
10_30,arhgdia,10,0.202071942276,,0.177898950459,3h
10_31,arhgdia,10,0.205168313801,,0.177134017536,3h
10_32,arhgdia,10,0.204952372552,,0.176764704097,3h
10_33,arhgdia,10,0.20804145588,,0.175780514492,3h
10_34,arhgdia,10,0.203794815127,,0.179454762988,3h
10_35,arhgdia,10,0.206993088566,,0.178376721788,3h
10_36,arhgdia,10,0.210126865758,,0.171209171083,3h
10_37,arhgdia,10,0.209679244954,,0.164456369312,3h
10_38,arhgdia,10,0.209269890741,,0.163510084362,3h
