,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.40358124811e-05,1.38608624518e-05,1.32168881336e-05,1.12545646265e-05,1.65047936219e-05,1.57768685407e-05,1.28750233149e-05,1.22474089738e-05,1.29521132743e-05,2.14208428116e-05,1.03493329059e-05,9.09817037673e-06,1.22293273714e-05,1.54890939068e-05,1.70039963826e-05,1.60237557341e-05,1.45536351645e-05,1.45203130157e-05,1.0367598886e-05,1.39049870334e-05,3.04208576451e-05,2.47622286502e-05,2.50041582199e-05,2.69358929713e-05,2.79889709821e-05,1.93680572399e-05,1.14155301953e-05,1.36949282657e-05,1.96415912675e-05,2.58181605497e-05,2.68534621641e-05,4.57042292953e-05,4.19373715829e-05,2.64508158291e-05,1.93613105543e-05,1.67784868062e-05,3.62793236074e-05,3.31836655509e-05,3.6327831634e-05,5.16733352919e-05,5.46284849074e-05,2.84487242818e-05,2.40557667022e-05,2.69126873124e-05,3.46895541091e-05,4.42536811323e-05,4.26541285129e-05,6.16117860776e-05,6.58928520013e-05,4.33483814346e-05,3.50224673873e-05,3.37388445184e-05,4.25181633649e-05,5.61787956394e-05,5.58509618847e-05,5.9846091924e-05,5.79337901585e-05,3.78472182977e-05,0.0,0.0,0.0,3.97508874056e-05,5.14103104098e-05,5.15760004775e-05
1,1.24925653133e-05,1.14836450411e-05,9.75660570531e-06,1.13723320463e-05,1.25883096395e-05,1.38756326266e-05,1.36569824366e-05,1.20630935081e-05,1.21298546129e-05,1.29410023831e-05,1.05111797264e-05,1.18864624778e-05,1.31638622001e-05,1.33868319952e-05,1.31179546186e-05,1.26994695042e-05,1.78078111731e-05,1.86254028897e-05,1.10106724138e-05,1.45136877519e-05,1.43953766104e-05,1.67189545285e-05,2.00865111832e-05,2.11438929981e-05,2.86805905996e-05,2.77302578611e-05,1.65794565085e-05,1.76202244645e-05,1.90189781948e-05,2.72631814618e-05,4.35745037881e-05,3.96970337499e-05,3.46658044876e-05,3.58981810104e-05,1.71500439201e-05,1.85669360578e-05,2.475377511e-05,4.01307938425e-05,5.67600840929e-05,5.05038276504e-05,4.64594187587e-05,3.65242491751e-05,2.26837925116e-05,2.47184354495e-05,3.49347625843e-05,4.37613990695e-05,7.49889448204e-05,5.41168038795e-05,4.26272165019e-05,3.63670033974e-05,2.74455867785e-05,2.51079537812e-05,3.87845235789e-05,6.43314505474e-05,8.33712152497e-05,6.08466960837e-05,3.45331293627e-05,2.55385208636e-05,2.64826176918e-05,2.82725788233e-05,4.54494794189e-05,6.04720537869e-05,5.8896644638e-05,6.43463363581e-05
2,1.34246444877e-05,1.73552697268e-05,1.70303045541e-05,1.42348509057e-05,1.32689516771e-05,1.33252828581e-05,1.51943690814e-05,1.35610019776e-05,1.40392865613e-05,2.23806696702e-05,1.77478956565e-05,1.40013801897e-05,1.33167569485e-05,1.40892674194e-05,1.32966961965e-05,1.52674079683e-05,2.28526448788e-05,3.08918487324e-05,1.81354960425e-05,1.85920091999e-05,1.4751075152e-05,1.36313502148e-05,1.71470458958e-05,1.76095525696e-05,3.21868950871e-05,3.91171631071e-05,2.03027915055e-05,2.48539522055e-05,1.66819524862e-05,1.49722292161e-05,1.61899625956e-05,2.95646861428e-05,3.45320192372e-05,4.79138771227e-05,2.83045249709e-05,3.94571743511e-05,2.46023443351e-05,2.17410587977e-05,2.29086379705e-05,4.42652736127e-05,4.94181394314e-05,6.03334226068e-05,4.75553376944e-05,4.56602999002e-05,3.48107704947e-05,3.17115341571e-05,4.62602451718e-05,5.3660183034e-05,5.5761692794e-05,6.004918549e-05,5.64305389109e-05,5.26222939835e-05,5.04802232678e-05,4.93298313411e-05,5.0500280305e-05,4.90178214556e-05,5.76048914644e-05,5.37440634046e-05,4.22470939452e-05,0.0,4.44042170532e-05,4.39862882292e-05,5.08921891705e-05,4.33405005671e-05
3,1.45258551212e-05,1.58716805187e-05,1.7145542533e-05,1.21959023155e-05,1.55635277435e-05,1.70193620829e-05,1.66308835341e-05,2.16748521844e-05,1.89363076754e-05,1.54882329878e-05,1.55816449308e-05,1.16534717755e-05,1.07770754677e-05,1.80323357979e-05,1.58510102529e-05,2.17497664914e-05,2.20073892068e-05,1.66771394073e-05,1.31357626331e-05,1.25215324308e-05,1.32903183796e-05,2.4874542254e-05,1.7905606686e-05,3.18357512669e-05,3.47984092889e-05,2.61305202536e-05,1.5371295913e-05,1.96544938449e-05,2.21487873109e-05,3.18856203431e-05,3.04772841519e-05,4.1770282549e-05,4.78151373116e-05,4.3712553118e-05,2.37850628268e-05,2.20013764053e-05,3.3251991586e-05,3.65503367354e-05,3.38827506958e-05,5.51022315243e-05,6.22125559823e-05,5.11174082693e-05,3.23433178099e-05,2.82891389946e-05,3.89530687035e-05,4.20339012671e-05,3.76917804852e-05,5.87460182323e-05,7.45571305055e-05,6.01354272437e-05,3.59705996111e-05,3.35401312824e-05,3.67559128061e-05,3.42916741314e-05,4.64182885131e-05,5.54734911375e-05,5.60937382384e-05,6.00932863317e-05,3.26699927669e-05,0.0,0.0,3.02455377539e-05,3.74704721014e-05,4.9895201999e-05
4,2.5881488317e-05,1.71746941798e-05,1.86008039686e-05,1.74949453779e-05,1.96657899836e-05,1.76317205644e-05,1.54379460292e-05,1.98027860271e-05,3.13885060722e-05,2.26865822783e-05,2.13366547958e-05,1.56666769271e-05,1.68976718095e-05,1.97203806187e-05,1.79867219894e-05,2.24573045747e-05,3.89632396324e-05,2.94122418763e-05,2.17967136488e-05,1.63356879846e-05,1.85170120118e-05,1.7245010662e-05,1.87862117234e-05,2.08592373613e-05,4.9978919901e-05,3.18674876174e-05,2.70389101381e-05,1.79914523599e-05,1.95154338825e-05,1.79708676551e-05,2.31854541991e-05,2.97089643515e-05,5.36205239217e-05,3.39581322327e-05,4.37220524369e-05,2.38594762388e-05,3.01772551715e-05,2.72062757771e-05,2.67472816983e-05,3.95884549241e-05,5.91525350425e-05,3.20190406784e-05,4.95130353274e-05,3.43877118902e-05,3.42123991735e-05,3.37402843901e-05,3.28157357118e-05,6.49400967583e-05,5.99463245553e-05,4.27636259666e-05,5.15144779824e-05,3.92324801396e-05,3.97674612123e-05,3.15726594899e-05,3.85414209196e-05,5.92732481403e-05,5.58727190605e-05,4.3634363379e-05,4.86805815369e-05,3.55475581723e-05,4.30443006179e-05,2.70648429279e-05,3.75739196817e-05,6.07734172996e-05
5,2.47303855774e-05,1.53062959004e-05,1.42176316392e-05,1.65591110729e-05,1.53674005575e-05,1.58232452448e-05,1.35000172129e-05,1.42219642853e-05,3.83306631692e-05,1.59587362184e-05,1.83317092722e-05,1.45827975415e-05,1.31095295626e-05,1.39936781109e-05,1.50553258865e-05,2.24847286217e-05,4.90812209739e-05,1.90422864003e-05,1.62711975592e-05,1.48776564113e-05,1.30424324079e-05,1.59706397986e-05,1.54133461336e-05,3.32006537312e-05,6.60635228697e-05,2.97082508349e-05,2.01983831337e-05,1.52256346199e-05,1.52551949554e-05,1.71336341709e-05,2.05771503537e-05,4.70826203864e-05,7.69863191921e-05,4.62076711963e-05,1.97163499847e-05,1.59190779952e-05,1.42349935743e-05,1.95274819892e-05,2.43545081844e-05,6.41292568116e-05,7.85911754204e-05,5.69886629167e-05,3.80835701794e-05,2.58252951518e-05,1.59215670051e-05,2.61279273056e-05,3.04662109462e-05,7.43702622947e-05,6.41020233526e-05,5.95442987526e-05,4.59592780934e-05,3.44597732652e-05,2.69596967467e-05,3.16764523333e-05,4.86508016106e-05,8.51457803456e-05,5.11511953737e-05,5.63774686955e-05,5.12188702407e-05,4.33610944599e-05,3.48338496075e-05,4.51051663687e-05,5.5195967329e-05,6.30746062297e-05
6,1.4361777972e-05,1.59387456832e-05,1.831748521e-05,2.02259657398e-05,1.62959767754e-05,1.73706397806e-05,1.58035019331e-05,1.3758116202e-05,2.00193938995e-05,1.83340470368e-05,1.82928933594e-05,1.6801569024e-05,1.81734264905e-05,1.83075743035e-05,1.85904756113e-05,1.4486161539e-05,2.905735103e-05,2.35728150984e-05,2.03201284402e-05,1.93792964644e-05,2.15621747158e-05,2.26364827625e-05,1.93926234807e-05,2.12193545404e-05,3.26972352451e-05,1.89027510373e-05,2.40425968806e-05,2.4954681781e-05,2.46226501224e-05,2.97918073648e-05,2.03849725875e-05,2.9376787605e-05,4.26122013839e-05,2.34451100888e-05,2.80383095539e-05,3.41156028448e-05,2.71486405078e-05,3.1669962053e-05,2.27861977502e-05,3.65485305628e-05,6.0273667709e-05,2.96116817861e-05,4.23516430711e-05,4.33865324187e-05,3.24086180574e-05,4.31435250491e-05,3.49661249741e-05,5.36832594043e-05,7.6645418191e-05,4.82776724895e-05,3.99702053336e-05,4.35934925792e-05,3.67284663771e-05,4.08031743032e-05,4.69764195219e-05,5.95120774095e-05,7.39880802658e-05,4.95885173304e-05,4.05748316538e-05,4.42830861507e-05,3.61827328886e-05,4.86371995458e-05,4.9709742833e-05,7.80432424462e-05
7,1.53143657411e-05,1.20305496138e-05,1.47354396524e-05,9.72846291014e-06,1.03452900309e-05,1.24462561355e-05,2.09745742054e-05,1.60744799844e-05,1.70266426814e-05,1.2702071682e-05,1.11717907455e-05,1.13377495331e-05,1.04942190253e-05,1.31340869377e-05,3.28902894467e-05,2.08060162433e-05,2.59070037779e-05,1.46053215632e-05,1.31196469539e-05,1.18127286379e-05,1.06534405589e-05,1.54440867186e-05,4.47967789495e-05,3.43958345788e-05,5.86011508497e-05,3.30145034187e-05,1.5850154659e-05,1.31783377881e-05,1.32173273806e-05,1.83643760751e-05,3.04811494584e-05,5.18693139974e-05,7.17298929512e-05,3.94840401903e-05,1.58355393146e-05,1.74242507099e-05,1.81120492499e-05,2.57632263903e-05,3.37815260762e-05,5.1582472024e-05,7.60731700287e-05,5.011297182e-05,2.85353566453e-05,2.49807719817e-05,2.52021927474e-05,3.12291197241e-05,4.28069773644e-05,5.31234953723e-05,7.62225199892e-05,6.8183037724e-05,4.20052014068e-05,3.23321155881e-05,3.21246097405e-05,3.90718253039e-05,4.21090542083e-05,5.91049968053e-05,5.56001699354e-05,6.0248907985e-05,3.69670726847e-05,0.0,2.94849046529e-05,3.56923546931e-05,3.80942947638e-05,5.16506716058e-05
8,1.38721528282e-05,1.22919672876e-05,1.65015454329e-05,1.44270105186e-05,2.21710813626e-05,1.33446228576e-05,1.2911415124e-05,1.43828992291e-05,1.4111109119e-05,1.45391052252e-05,1.80683775171e-05,1.47776191431e-05,2.9158346968e-05,1.52981098116e-05,1.51519888425e-05,1.53933596209e-05,1.59702608964e-05,1.66177198817e-05,2.42220946695e-05,1.85031050386e-05,3.17147778155e-05,1.64231829523e-05,1.51895142858e-05,1.82948810054e-05,3.0604903016e-05,2.37223639874e-05,3.02667246259e-05,3.63364896336e-05,3.34623629183e-05,1.9676556817e-05,1.98604669167e-05,4.4784197351e-05,5.40423364137e-05,5.15118146005e-05,4.59908563468e-05,2.79552236227e-05,3.62697392929e-05,2.39872358039e-05,3.19546650053e-05,6.36309392457e-05,6.5919470969e-05,7.39025969479e-05,5.25684833556e-05,3.03167365159e-05,3.98277119409e-05,3.24789629834e-05,4.69784375526e-05,6.61868478813e-05,7.22917689616e-05,6.42939520142e-05,5.22285982496e-05,3.55941551836e-05,3.71889026342e-05,3.7358457089e-05,4.89745479701e-05,7.79562586724e-05,7.1638213043e-05,7.0244971276e-05,3.4075249456e-05,3.329355396e-05,3.54652578137e-05,5.60805322648e-05,6.5031666141e-05,8.19823418822e-05
9,1.41197834889e-05,1.34303098614e-05,1.21477549162e-05,1.15855279986e-05,1.66425855462e-05,1.55756426711e-05,1.55349505507e-05,1.26517822872e-05,1.56289645556e-05,1.43836587672e-05,1.72041689055e-05,1.39571100934e-05,1.68184587517e-05,1.70781596628e-05,2.1968491541e-05,1.32101030569e-05,2.36476141666e-05,2.04654340159e-05,1.6863012429e-05,1.58030437936e-05,2.00419545255e-05,2.30575039424e-05,1.96618279581e-05,2.34870263007e-05,4.5235352386e-05,2.83247277138e-05,2.10104995199e-05,2.08325699241e-05,2.43764473603e-05,2.97823273167e-05,2.18426308074e-05,3.63675602785e-05,4.14410395401e-05,3.06546313589e-05,3.23585528435e-05,2.47240423433e-05,3.12608617085e-05,3.20699513363e-05,4.06303705046e-05,4.11818590625e-05,5.46958868063e-05,4.04510846493e-05,4.55032977805e-05,2.9425201101e-05,3.01126958002e-05,2.88003543423e-05,5.41023400734e-05,5.20318974192e-05,6.06794965456e-05,5.32603190712e-05,5.22371192828e-05,3.30279919286e-05,2.94314939224e-05,3.1937558524e-05,5.35065781344e-05,6.11639844079e-05,6.18857596561e-05,5.15940487811e-05,4.52673307788e-05,2.25100125465e-05,2.69655321876e-05,3.16049266429e-05,5.00124066725e-05,6.47252457418e-05
