,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.13074808285e-05,2.0144860504e-05,1.97220445714e-05,1.92171563065e-05,1.87101435763e-05,1.94636188712e-05,1.95803909027e-05,2.20898449396e-05,2.39204905738e-05,2.35269798254e-05,2.37402366115e-05,2.10541623744e-05,2.18963670574e-05,2.03945276857e-05,2.17655276697e-05,2.3935323786e-05,3.3347404814e-05,3.10461622726e-05,2.84712987247e-05,2.63690237859e-05,2.71455871482e-05,2.49580451001e-05,2.93023206315e-05,2.91429051837e-05
1,1.99964905242e-05,2.12824397907e-05,2.0165624958e-05,1.96780885033e-05,1.75499769443e-05,1.62731595882e-05,1.63881499932e-05,1.86386358339e-05,2.37397170379e-05,2.55120894829e-05,2.44493639902e-05,2.16043222706e-05,1.97884528478e-05,1.8208520889e-05,1.86217401972e-05,2.17559154767e-05,2.8337729171e-05,2.66349723545e-05,2.86844047556e-05,2.95054084638e-05,2.87231408732e-05,2.6357969412e-05,2.61822439029e-05,2.62207286802e-05
2,1.94489722711e-05,1.77026136016e-05,1.55870320917e-05,1.50147509829e-05,1.76833691043e-05,1.86150167354e-05,2.03822916525e-05,2.06104929056e-05,2.48033767022e-05,2.41097496988e-05,2.06126707341e-05,1.79124570456e-05,2.12784232196e-05,2.16472516634e-05,2.28752717394e-05,2.37764611293e-05,3.14778993025e-05,3.00414830629e-05,2.55618578786e-05,2.18858040658e-05,0.0,2.27815064312e-05,2.39648512157e-05,3.13425183575e-05
3,1.757056146e-05,1.83665275024e-05,1.95916448363e-05,1.98280195086e-05,0.0,2.08318630164e-05,2.00228177673e-05,1.84172711489e-05,2.20184689352e-05,2.19015504628e-05,2.05733934413e-05,2.26965130137e-05,2.3147880756e-05,2.22593129308e-05,2.15986245246e-05,2.0368654837e-05,3.25432982999e-05,2.62027717114e-05,2.33534453788e-05,2.28432390242e-05,0.0,2.48893258301e-05,2.67307187357e-05,3.06198843143e-05
4,2.24715003734e-05,2.24118755559e-05,2.11784916278e-05,1.83296407384e-05,1.81334205506e-05,1.74766817026e-05,1.89563782462e-05,1.93862963902e-05,2.33667728094e-05,2.3985009749e-05,2.38677921333e-05,2.1364752661e-05,1.99711756412e-05,2.02542931781e-05,2.08622657445e-05,2.14214492944e-05,2.80847403519e-05,3.30383059038e-05,2.78730393812e-05,2.73083586121e-05,2.68900808806e-05,2.53940391323e-05,2.37230972646e-05,2.56057615332e-05
5,1.65133283795e-05,1.77297456894e-05,1.96499183477e-05,1.92228604727e-05,2.06323217967e-05,2.01049771308e-05,1.87367833391e-05,1.86750551972e-05,2.33447815869e-05,2.08180372214e-05,2.26408477409e-05,2.19125260165e-05,2.24220253606e-05,2.07857959335e-05,2.21854011024e-05,2.44359641657e-05,2.53480402025e-05,2.41549998837e-05,2.42463751071e-05,2.73377962953e-05,2.64841583722e-05,2.74411386345e-05,3.02692364554e-05,2.86206926124e-05
6,1.86545749569e-05,1.73667204067e-05,1.7451861236e-05,1.83033357101e-05,1.86111482981e-05,2.22286366325e-05,2.2222469331e-05,2.11368426616e-05,2.63458479395e-05,2.295097069e-05,2.1249539385e-05,2.07227733927e-05,1.9281284742e-05,2.56180647661e-05,2.60417133513e-05,2.65451744786e-05,2.91398241883e-05,2.67204793793e-05,2.40617648696e-05,2.69504277377e-05,2.56603640447e-05,2.78649568801e-05,2.92811652145e-05,2.88113061197e-05
7,2.15949394908e-05,2.28490953529e-05,1.9705553749e-05,1.8575134152e-05,1.69937500894e-05,1.6819168817e-05,1.62183933611e-05,1.87796329003e-05,2.71631954938e-05,2.70752945772e-05,2.55176630197e-05,2.19743957536e-05,2.01731596487e-05,2.24043605947e-05,2.06710925176e-05,2.39077570443e-05,2.87361535166e-05,2.92293414504e-05,2.81873981921e-05,3.08735431571e-05,2.45848218243e-05,2.7488736592e-05,2.72490149372e-05,2.8482485928e-05
8,2.07527271041e-05,1.87014735103e-05,1.58159647398e-05,1.51161809945e-05,1.50988258063e-05,1.86309433789e-05,1.84211768993e-05,2.23256868117e-05,2.71894283115e-05,2.33733501577e-05,2.00682072364e-05,1.8563867456e-05,1.94218051134e-05,2.19652380214e-05,2.32169049262e-05,2.84197724481e-05,3.01848770093e-05,2.90391437185e-05,2.97561094784e-05,2.74212648925e-05,2.27956951554e-05,0.0,2.64222761046e-05,2.96498124359e-05
9,2.03893134633e-05,2.30954877736e-05,2.22284061418e-05,1.69700491411e-05,1.62744438213e-05,1.55257609128e-05,2.04080358837e-05,2.00565226697e-05,2.84350374189e-05,2.61664491439e-05,2.55248604482e-05,1.89208326623e-05,1.8943198963e-05,1.77163314046e-05,2.17646654878e-05,2.29863988836e-05,2.96523369282e-05,3.28732315246e-05,2.75881455032e-05,0.0,0.0,2.15194198659e-05,2.48779420415e-05,2.74816966166e-05
10,1.99831204398e-05,2.1259743866e-05,2.01834021002e-05,1.97832456552e-05,1.75875861909e-05,1.63341759284e-05,1.62201980094e-05,1.86505389242e-05,2.38230420259e-05,2.53661066831e-05,2.46507349325e-05,2.17181464598e-05,1.97415273412e-05,1.82465271509e-05,1.85334534705e-05,2.15762306552e-05,2.83604627116e-05,2.66853658488e-05,2.85339942921e-05,2.95243894429e-05,2.87635576203e-05,2.65611967922e-05,2.62540885072e-05,2.59940451354e-05
11,1.97795246841e-05,1.82913527292e-05,1.61835771412e-05,1.48190470515e-05,1.58248849004e-05,1.88698510162e-05,2.14873014363e-05,2.2251997044e-05,2.85225164947e-05,2.61147839309e-05,2.18085338706e-05,1.83539260087e-05,1.96458619618e-05,2.15623156967e-05,2.17025223977e-05,2.53806139751e-05,3.51645330474e-05,3.35684470761e-05,2.75529165713e-05,2.376042584e-05,2.2552294722e-05,2.37343571989e-05,2.392938322e-05,3.1924713024e-05
12,1.88947048215e-05,1.68186888894e-05,1.7128664219e-05,1.95517072034e-05,1.90703398031e-05,2.122180051e-05,2.02001487046e-05,1.88631463395e-05,2.41281963565e-05,2.37893979112e-05,2.0864827608e-05,2.2836666021e-05,2.17213738089e-05,2.29018495866e-05,2.0942005674e-05,2.17530771303e-05,2.8728719236e-05,2.63224708193e-05,2.38379210489e-05,2.42463751071e-05,2.74513427787e-05,2.68239650383e-05,2.72749243225e-05,3.00077985795e-05
13,1.88665226456e-05,1.5424995105e-05,1.78569439871e-05,1.79359524241e-05,1.91609568132e-05,2.14753757098e-05,2.01391516297e-05,2.032089612e-05,2.5919212605e-05,2.10505790053e-05,2.03597159554e-05,1.91274144372e-05,2.05110181364e-05,2.30393432403e-05,2.53972753084e-05,2.53150971206e-05,2.92072981884e-05,2.61027052608e-05,2.49821887908e-05,2.32301177854e-05,2.33151389866e-05,2.7292517503e-05,2.86293284647e-05,3.1212377807e-05
14,1.86536854477e-05,2.01448524437e-05,1.96597190424e-05,1.96643630802e-05,1.86793362998e-05,1.78400669678e-05,1.63920528285e-05,1.59726548042e-05,2.57160218961e-05,2.2956010759e-05,2.31746107928e-05,2.15672444538e-05,2.15000632289e-05,2.26509154341e-05,2.21296433124e-05,2.41433781212e-05,2.62664151344e-05,2.65620666478e-05,2.61329432772e-05,2.63608575699e-05,2.75314383649e-05,2.99693552978e-05,2.87163070956e-05,2.80229313059e-05
15,2.05387544396e-05,2.14530076511e-05,2.21916941479e-05,1.90057784587e-05,1.68772744373e-05,1.64355444474e-05,1.7295359549e-05,1.92608576903e-05,2.34527970339e-05,2.65006541946e-05,2.37971877514e-05,2.2654727043e-05,2.23264501664e-05,2.00807060398e-05,2.04418250289e-05,2.28950396223e-05,3.02897213064e-05,2.76446920463e-05,2.88892498212e-05,2.93608898609e-05,2.84939727304e-05,2.62169281984e-05,2.64793773224e-05,2.76402432049e-05
16,2.24652550567e-05,2.05957816417e-05,1.83241625582e-05,1.90728535059e-05,1.80482554302e-05,2.07124917439e-05,1.97976177971e-05,2.39339157826e-05,2.56606473168e-05,2.54115428882e-05,2.49977925568e-05,2.07530080032e-05,2.03161693624e-05,2.1540012301e-05,2.16280856736e-05,2.49670736383e-05,3.31661418368e-05,2.97230413934e-05,2.47293932169e-05,2.22509603969e-05,2.52003036274e-05,2.78807962227e-05,2.75949581754e-05,3.1579782102e-05
17,1.94081991225e-05,1.78132610863e-05,1.60504721708e-05,1.83643401492e-05,1.93282339649e-05,2.10989154755e-05,2.10962232356e-05,1.90582393954e-05,2.47290211654e-05,1.99855284659e-05,1.82450800423e-05,2.21325761707e-05,2.19837201037e-05,2.18098930845e-05,2.51503081457e-05,2.30687823548e-05,3.04378010908e-05,2.83025613537e-05,2.47866038561e-05,2.53132804378e-05,0.0,0.0,2.53762956769e-05,3.01032336613e-05
18,2.31719797936e-05,2.28384219011e-05,2.14516948782e-05,1.91767017239e-05,1.77657351928e-05,1.76499496313e-05,1.7546399081e-05,2.21609706109e-05,2.5550379803e-05,2.87009012154e-05,2.23308451036e-05,2.15324116341e-05,2.15204257064e-05,1.99509528661e-05,2.34601324707e-05,2.89204562475e-05,3.14576701907e-05,3.0273403517e-05,3.49431881702e-05,3.66031288594e-05,2.9629635029e-05,3.10176155802e-05,2.71885100185e-05,3.26462519494e-05
19,2.10022623332e-05,2.01861531563e-05,1.78033192123e-05,1.56141995539e-05,1.68687928157e-05,1.85897933857e-05,1.89616850195e-05,2.14828558733e-05,2.37635162769e-05,2.72766587075e-05,2.04111047304e-05,1.82978954537e-05,1.99652537465e-05,2.19927368897e-05,2.07000278719e-05,2.47879310674e-05,3.23559834302e-05,3.14668640537e-05,2.86594727502e-05,2.67362293759e-05,2.58528831513e-05,2.5797372469e-05,2.61112458157e-05,2.90957930679e-05
20,1.7931759318e-05,1.65164731754e-05,1.53605900707e-05,1.69973122387e-05,1.79539978341e-05,1.8818537844e-05,1.97615283708e-05,1.94424333022e-05,2.61940496167e-05,2.17317694768e-05,1.84075769661e-05,1.94308830981e-05,1.9615898401e-05,2.13701775969e-05,2.57831499673e-05,2.77658224923e-05,3.22584154419e-05,2.83002489435e-05,2.37666369299e-05,2.25301512353e-05,2.13132174442e-05,2.30333080812e-05,2.95476420388e-05,3.01727377665e-05
21,1.88591450279e-05,1.95395509438e-05,2.08088744523e-05,2.25013640285e-05,2.36809954641e-05,2.23775685966e-05,2.10299564859e-05,1.88431435448e-05,2.20831693993e-05,2.19586092102e-05,2.18304553813e-05,2.34066216167e-05,2.69038968759e-05,2.40788989615e-05,2.5075915492e-05,2.42661683459e-05,2.78667779924e-05,2.62813506932e-05,2.30987532495e-05,2.48849291625e-05,2.88091497514e-05,3.01084009361e-05,2.91472395781e-05,2.8377254445e-05
22,2.18621138461e-05,1.82352097965e-05,1.68961455486e-05,1.54659495312e-05,1.73093665295e-05,1.86618887989e-05,2.03007852168e-05,2.13088318889e-05,2.34912689498e-05,2.22793366014e-05,2.02444097729e-05,1.68712630744e-05,1.95418774967e-05,2.02247521337e-05,2.09977144056e-05,2.40918962149e-05,3.31637248018e-05,2.95870326689e-05,2.46253585487e-05,2.14250409219e-05,0.0,2.10926815522e-05,2.26858219301e-05,3.21242936297e-05
23,1.8212612859e-05,2.12901240609e-05,2.08472602983e-05,2.23752651078e-05,2.25842690044e-05,2.19574043862e-05,2.07637497779e-05,1.85559184774e-05,2.39919790564e-05,2.3499501746e-05,2.40452326099e-05,2.80386715373e-05,2.55038500718e-05,2.54451092307e-05,2.84942231147e-05,2.52693502074e-05,2.94348188688e-05,2.71426387263e-05,2.87223836049e-05,2.85307123333e-05,3.13186876811e-05,3.07348897375e-05,3.04336243007e-05,2.94162520945e-05
24,2.04424693931e-05,2.19124388194e-05,2.17378461153e-05,2.02924327018e-05,1.82921414391e-05,1.65479901792e-05,1.56832100361e-05,1.71069749307e-05,2.48990219406e-05,2.48886331118e-05,2.4062192086e-05,2.28259758089e-05,2.29874333739e-05,2.07660814955e-05,1.95256001363e-05,2.09063752926e-05,2.94555753158e-05,3.03647634991e-05,3.04807033989e-05,2.89977316363e-05,3.12156948127e-05,3.26021072348e-05,2.62952597213e-05,2.70830757207e-05
25,2.38036753032e-05,2.08731049152e-05,2.05404240323e-05,1.84577714249e-05,1.69426675898e-05,1.59864073269e-05,1.71355231373e-05,1.99630157684e-05,2.68755359046e-05,2.4988677078e-05,2.39704777651e-05,2.3556256515e-05,2.10369147812e-05,1.97733192289e-05,2.17053901743e-05,2.41923500799e-05,3.04671349047e-05,2.96575612221e-05,2.89252537064e-05,2.98380557612e-05,2.88572378161e-05,2.49442790012e-05,2.24080013256e-05,3.08255995443e-05
26,1.94103401104e-05,2.22964117556e-05,2.37219162034e-05,2.3986458741e-05,1.97542849997e-05,2.0691385868e-05,1.91625265465e-05,1.90822019979e-05,2.49503137887e-05,2.7699475341e-05,2.34527047168e-05,2.4340023277e-05,2.28185282216e-05,2.50428338385e-05,2.42992697398e-05,2.20955866065e-05,2.67980495372e-05,2.6769773537e-05,2.72268017249e-05,3.05241633095e-05,2.77054989202e-05,3.13934862614e-05,3.01912960645e-05,2.91765733406e-05
