,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,8.635715576218024e-06,1.1271480162963883e-05,3.09600152124831e-06,5.695941741920464e-06,5.022687953084219e-06,5.250556550342096e-06,7.730685822603165e-06,1.0725103646617701e-05,5.1131151876990004e-05,5.3064004076112534e-05,4.366645697862954e-05,4.1272885854224137e-05,4.222510816665036e-05,4.4807719416441777e-05,5.0170006862214995e-05,5.358609041811352e-05,5.3021554474340194e-05,5.338027823949374e-05,4.376778858821893e-05,4.103693172068278e-05,4.2091147248348e-05,4.433347737483478e-05,5.012328184446526e-05,5.3524437436440373e-05
1,1.6281847187847204e-05,4.84288269483951e-06,8.813146058182747e-06,7.068787761438861e-06,8.872273757431597e-06,5.728666745339645e-06,8.930831239940157e-06,1.3514429118938195e-05,5.3033511194255544e-05,4.699085422594101e-05,4.630315593139426e-05,4.362706001267323e-05,4.159478405717963e-05,4.025978813773013e-05,4.342494533498133e-05,4.8313681048827064e-05,5.240667938028435e-05,4.718184374240817e-05,4.611729023358633e-05,4.327475593061242e-05,4.164233139173237e-05,3.999318224293519e-05,4.3379021129844164e-05,4.820253240162225e-05
2,7.802071887523031e-06,7.663284190824745e-06,9.283684181096932e-06,1.1464907063898527e-05,9.546393701489395e-06,5.306512248958244e-06,1.3896711206349139e-05,7.685164530355349e-06,4.155405720174664e-05,4.038831586507939e-05,4.41000955085011e-05,4.827894307800775e-05,5.2797282795445274e-05,5.129318629543779e-05,5.051853872561877e-05,4.648042826609465e-05,4.1644318626922206e-05,4.052208077640968e-05,4.4022963992676516e-05,4.879266267671971e-05,5.2579140767176106e-05,5.23717432734059e-05,4.9614219938138736e-05,4.611092713357133e-05
3,9.15901903449724e-06,1.0063671948606826e-05,9.501501049026587e-06,4.187118449960142e-06,3.0900424037983402e-06,6.7604837679627385e-06,2.9413691787981317e-06,6.388363705185756e-06,3.1577935427943356e-05,3.594288931126637e-05,3.7284970782822826e-05,3.487843454201976e-05,3.253683396897049e-05,2.9987410073810103e-05,2.9277556938342444e-05,2.9406413686103927e-05,3.1500912665273014e-05,3.594019521271984e-05,3.716122362288621e-05,3.480071774256719e-05,3.2552245928671446e-05,3.0250849000719428e-05,2.9759133776387836e-05,2.9698434453688065e-05
4,1.1932006546671268e-05,1.5876099171113675e-05,5.812272861834078e-06,3.085898881947703e-06,8.026063915710793e-06,4.381515322760557e-06,9.916736189525126e-06,1.090624282947782e-05,5.487881542038216e-05,5.843572689727342e-05,5.276695694550856e-05,4.7547562388560354e-05,4.393247650858036e-05,4.361516472459745e-05,4.320175760546626e-05,4.835233408075454e-05,5.516720167363937e-05,5.8898973398500866e-05,5.360652806902058e-05,4.719714092390484e-05,4.4491674243894865e-05,4.357516637242462e-05,4.327291539746488e-05,4.8273656396448477e-05
5,1.0104079420938012e-05,9.652709933879987e-06,1.133877004871549e-05,1.2634542569332717e-05,8.432418723476448e-06,9.050003358609631e-06,5.774961695653335e-06,5.290604257043373e-06,4.0457791299612345e-05,4.648716025735953e-05,5.2282923404111006e-05,5.1896932599942624e-05,4.667305794261186e-05,4.1174192146300846e-05,3.988584397718576e-05,3.8993472167477e-05,4.057847278263373e-05,4.5865066012395103e-05,5.1887329533330155e-05,5.161749060855202e-05,4.6456212004607605e-05,4.133400777871675e-05,4.019169767135399e-05,3.82986498331332e-05
6,9.898069839489832e-06,1.0247444234015718e-05,8.582884819016504e-06,6.215635582624742e-06,1.0004738035974436e-05,1.5859660885304363e-05,8.640786490812786e-06,1.253091296650511e-05,3.8163236024460495e-05,3.7590165022550066e-05,3.8974674829658764e-05,4.2909644615457386e-05,4.6726954479446516e-05,4.6536502939808354e-05,4.2596215192767316e-05,4.0527394130910885e-05,3.8490274947502393e-05,3.7257767510225126e-05,3.9665867626231386e-05,4.2031685358282047e-05,4.6482125902219666e-05,4.6095387264485384e-05,4.27308435330948e-05,4.058965209176844e-05
7,9.433492579476104e-06,9.101807827311033e-06,4.963789670813688e-06,2.819497826215148e-06,7.639780935689776e-06,2.850023045902473e-06,4.097126456727563e-06,7.569276214082e-06,3.7564455998214694e-05,3.9881336653713654e-05,4.025024809689875e-05,3.709569039052009e-05,3.571319311465896e-05,3.496450898566775e-05,3.288971642021686e-05,3.409095157948558e-05,3.785986278508689e-05,4.003315384539891e-05,4.069924521944029e-05,3.806385801108226e-05,3.594912927559716e-05,3.6137803746208115e-05,3.3405518244071954e-05,3.4784220457590955e-05
8,1.185948183487729e-05,8.473764001981793e-06,5.614929422118311e-06,3.558937350591592e-06,1.3845967235584368e-05,7.48596650256303e-06,7.82428621279502e-06,1.0123237880781316e-05,4.4280084916960084e-05,4.800553021301559e-05,4.539289887847122e-05,4.075913878997925e-05,3.781309705819827e-05,3.667271522452184e-05,3.675254077540166e-05,4.0224409468181976e-05,4.4057131064307636e-05,4.7501476607500887e-05,4.566939509402587e-05,4.133370398872259e-05,3.766485023040578e-05,3.652806759358633e-05,3.6705627997543645e-05,4.097862920301713e-05
