,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
24_8,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_9,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_10,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_11,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_12,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_13,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_14,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_15,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_16,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_17,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_18,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_19,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_20,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_21,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_22,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_23,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_24,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_25,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_26,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_27,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_28,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_29,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_30,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_31,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_32,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_33,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_34,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_35,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_36,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_37,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_38,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_39,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_40,arhgdia,24,0.0,,0.0,0.0,0.0,5h
